piece_id,title,ninsheetmusic_id,url_pdf,url_mid,url_mus
00034,Mario  Luigi Bowsers Inside Story - Deep Castle,3884,https://www.ninsheetmusic.org/download/pdf/3884,https://www.ninsheetmusic.org/download/mid/3884,https://www.ninsheetmusic.org/download/mus/3884
00035,Mario  Luigi Bowsers Inside Story - Dimble Wood Inside Bowser,1922,https://www.ninsheetmusic.org/download/pdf/1922,https://www.ninsheetmusic.org/download/mid/1922,https://www.ninsheetmusic.org/download/mus/1922
00036,Mario  Luigi Bowsers Inside Story - Dimble Wood,4164,https://www.ninsheetmusic.org/download/pdf/4164,https://www.ninsheetmusic.org/download/mid/4164,https://www.ninsheetmusic.org/download/mus/4164
00037,Mario  Luigi Bowsers Inside Story - Fawful Castle,2135,https://www.ninsheetmusic.org/download/pdf/2135,https://www.ninsheetmusic.org/download/mid/2135,https://www.ninsheetmusic.org/download/mus/2135
00038,Mario  Luigi Bowsers Inside Story - Friendship Song,1618,https://www.ninsheetmusic.org/download/pdf/1618,https://www.ninsheetmusic.org/download/mid/1618,https://www.ninsheetmusic.org/download/mus/1618
00039,Mario  Luigi Bowsers Inside Story - Its Showtime,1833,https://www.ninsheetmusic.org/download/pdf/1833,https://www.ninsheetmusic.org/download/mid/1833,https://www.ninsheetmusic.org/download/mus/1833
00040,Mario  Luigi Bowsers Inside Story - Letsago,1613,https://www.ninsheetmusic.org/download/pdf/1613,https://www.ninsheetmusic.org/download/mid/1613,https://www.ninsheetmusic.org/download/mus/1613
00041,Mario  Luigi Bowsers Inside Story - Main Theme (1),1709,https://www.ninsheetmusic.org/download/pdf/1709,https://www.ninsheetmusic.org/download/mid/1709,https://www.ninsheetmusic.org/download/mus/1709
00042,Mario  Luigi Bowsers Inside Story - Main Theme,1708,https://www.ninsheetmusic.org/download/pdf/1708,https://www.ninsheetmusic.org/download/mid/1708,https://www.ninsheetmusic.org/download/mus/1708
00043,Mario  Luigi Bowsers Inside Story - The Grand Finale (1),1757,https://www.ninsheetmusic.org/download/pdf/1757,https://www.ninsheetmusic.org/download/mid/1757,https://www.ninsheetmusic.org/download/mus/1757
